	temp	pb	pb_err
0	10	0.0	0.0
1	70	2.135755149665974e-05	4.6942183218804956e-06
2	110	0.00014810276353579294	2.6413074352887595e-05
3	145	0.00024294340477945062	2.8028392257846173e-05
4	160	0.00032664459909797003	4.784237056754419e-05
5	185	0.00045290295797179085	5.0668367922024895e-05
6	200	0.0005284153399978321	7.512106260904198e-05
7	232	0.0007345791366152053	9.257536823986377e-05
8	243	0.0007393756205491128	9.538353946331944e-05
9	275	0.0008613405806285676	0.00010581867968679993
10	300	0.0010727717169405138	0.00012889890820062266
